FID,HUC10,spcode,SUM_Shape_
103,0103000105,E07L,0.162464036
104,0103000106,A073,0.095577992
105,0103000106,E07L,0.095577992
106,0103000202,E07L,0.042971951
107,0103000204,A073,0.057979467
108,0103000205,A073,0.04880433
109,0103000302,E07L,0.026963822
110,0103000303,E07L,0.032701306
111,0103000304,E07L,0.02521295
112,0103000305,E07L,0.022854078
113,0103000306,E07L,0.019329211
114,0103000308,E07L,0.020590041
115,0103000309,E07L,0.054259734
116,0103000310,E07L,0.03954462
117,0103000311,E07L,0.031932523
118,0103000312,E07L,0.0492501
119,0103000313,E07L,0.023569698
120,0103000314,E07L,0.04206171
121,0103000315,E07L,0.055176677
122,0103000316,E07L,0.067079287
123,0103000317,E07L,0.026444033
124,0103000318,E07L,0.037457456
125,0103000319,E07L,0.041308392
126,0103000320,E07L,0.042005222
127,0103000321,E07L,0.064640857
128,0103000322,E07L,0.06122541
129,0103000323,E07L,0.06324386
130,0103000324,E07L,0.086129328
131,0104000101,E07L,0.140778559
132,0104000204,E07L,0.060428749
133,0104000205,E07L,0.071227293
134,0104000206,E07L,0.05945211
135,0104000208,E07L,0.024051901
136,0104000209,E07L,0.103124981
137,0104000210,E07L,0.076225192
138,0105000101,E07L,0.040128291
139,0105000103,E07L,0.068421432
140,0105000106,E07L,0.055216199
141,0105000108,E07L,0.100714891
142,0105000201,E07L,0.043332315
143,0105000202,E07L,0.048647773
144,0105000203,E07L,0.032893207
145,0105000204,E07L,0.030765937
146,0105000205,E07L,0.031809304
147,0105000206,E07L,0.051739671
148,0105000207,E07L,0.039723956
149,0105000208,E07L,0.094853871
150,0105000209,E07L,0.061546573
151,0105000210,E07L,0.086861464
152,0105000211,E07L,0.063521116
153,0105000212,E07L,0.142384193
154,0105000213,E07L,0.037237766
155,0105000214,E07L,0.083943761
156,0105000215,E07L,0.119005039
157,0105000216,E07L,0.024092488
158,0105000218,E07L,0.026911599
159,0105000219,E07L,0.308218215
160,0105000301,E07L,0.081323694
161,0105000302,E07L,0.097390538
162,0105000303,E07L,0.067282452
163,0105000304,E07L,0.073802466
164,0105000305,E07L,0.039521232
165,0105000306,E07L,0.038738907
166,0105000404,E07L,0.038458034
